10 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-06, Processors: 10
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
0	24.5949329	4.55704418	0.213702917	1	92.309174	100.000000	93.091357	100.000000
1	20.2606038	5.09812751	0.815824032	3	71.379031	100.000000	72.099565	100.000000
2	17.4232304	3.66158164	1.08985496	4	66.662814	99.825480	67.013447	99.883687
3	15.2967118	2.6726865	1.43260074	5	53.442762	97.673066	54.024583	97.731899
4	13.1951854	2.13545317	1.70634389	6	45.397449	96.160558	46.094864	95.347485
5	10.8518578	2.52623401	2.07494497	7	39.702539	91.855730	40.827650	92.294272
6	9.2647298	1.17423885	2.35764098	8	33.791855	87.056428	34.963203	87.641756
7	8.67143934	0.878230379	2.67681813	9	31.510808	84.293194	32.601241	85.199186
8	7.78939031	0.853620176	3.02132106	10	28.543906	80.453752	29.611220	81.942425
9	7.16183518	1.5429655	3.33401203	11	27.122105	77.225131	28.362810	77.958709
10	6.6362783	0.733384317	3.6470921	12	24.544369	72.803956	25.823604	74.411166
11	6.37244685	0.543908994	3.96550107	13	23.650445	71.931355	24.848765	73.015411
12	5.87935327	0.61642113	4.29035807	14	22.220938	69.342641	23.669711	72.055830
13	5.38954483	0.844265602	4.61104608	15	21.072708	67.248400	22.648634	70.485606
14	5.00769429	0.72403194	4.91184616	16	20.394559	65.881326	22.251763	70.020355
15	4.75542202	0.389639998	5.23123622	17	19.311833	63.728912	21.165183	67.374237
16	4.52284067	0.365307892	5.51549625	18	18.552768	61.111111	20.383000	65.193370
17	4.31573686	0.389044109	5.86445522	19	17.762879	58.813264	19.805032	63.477755
18	4.10081133	0.715662778	6.19361806	20	17.635726	58.260617	20.209610	63.390521
19	3.84437708	0.306978068	6.52922416	21	16.344931	55.090169	19.223211	61.151498
20	3.72266404	0.251729855	6.82339621	22	16.079066	54.450262	18.826340	60.889794
