8 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 8
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
56	2.278963	0.122489322	25.755631	58	9.871691	37.929029	14.880746	50.043617
57	2.26997461	0.0550542199	26.2443888	59	9.802335	37.289122	14.857627	50.072696
58	2.26416032	0.0500891872	26.6472809	60	9.790776	37.347295	14.838362	49.927304
59	2.2542555	0.0684087276	27.067667	61	9.817747	37.521815	14.792124	49.752835
60	2.2491497	0.0813593444	27.7971172	63	9.679035	37.201862	14.780565	49.578366
61	2.24295269	0.0544528649	28.1690521	64	9.671329	37.056428	14.703502	49.491131
62	2.23593886	0.0466362866	28.5750422	65	9.594267	36.794648	14.618734	49.113114
63	2.23252142	0.0785661717	28.9429531	66	9.609679	37.056428	14.657265	49.200349
64	2.22879762	0.04298508	29.3240452	67	9.524910	36.852821	14.618734	48.967723
65	2.22390859	0.0512985252	29.7167532	68	9.532617	36.794648	14.518553	48.647863
66	2.21838227	0.0635773128	30.2509792	69	9.555735	36.998255	14.526259	48.706019
67	2.21408409	0.0945676252	31.0420043	71	9.509498	36.852821	14.510847	48.589706
68	2.20805788	0.0463920915	31.4298084	72	9.555735	36.998255	14.495434	48.764176
69	2.20501641	0.0304342805	32.0905185	73	9.440142	36.823735	14.533965	48.793254
70	2.20170642	0.0400362141	32.4835405	74	9.478673	36.940081	14.510847	48.880489
71	2.19839606	0.0537906218	32.9418795	75	9.324548	36.503781	14.503140	48.706019
72	2.19453534	0.0519399755	33.3894255	76	9.282164	36.329261	14.483875	48.647863
73	2.1910458	0.0536509148	33.9817846	77	9.220514	36.329261	14.518553	48.676941
