3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-03, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
59	3.35387059	0.0263718807	47.8253555	61	11.008361	41.041303	14.734327	50.072696
60	3.35283229	0.0403612082	48.6467104	62	10.977536	40.954043	14.749740	50.014539
61	3.35157581	0.0278711857	49.3972504	63	11.023774	41.012216	14.641853	49.927304
62	3.35052249	0.0214458375	50.1984584	64	10.965977	40.837696	14.637999	49.810992
63	3.3490821	0.0339108059	51.0013545	65	10.946711	40.895870	14.618734	49.665600
64	3.34841308	0.0399692428	51.7982655	66	10.908180	40.721350	14.641853	49.694679
65	3.34769613	0.0188673975	52.5901084	67	10.931299	40.721350	14.630293	49.549288
66	3.34703766	0.0162646711	53.3884683	68	10.923593	40.779523	14.614881	49.665600
67	3.34637084	0.0209736322	54.1520352	69	10.939005	40.779523	14.618734	49.694679
68	3.34606939	0.0583607524	54.9398282	70	10.912033	40.721350	14.549378	49.578366
69	3.34509743	0.0178927866	55.7522113	71	10.958271	40.808610	14.557084	49.578366
70	3.34476514	0.0138315301	56.5035903	72	10.923593	40.692263	14.564790	49.520209
71	3.3442841	0.0171685716	57.2648883	73	10.908180	40.605003	14.553231	49.520209
72	3.34392639	0.0393116246	58.0542965	74	10.908180	40.605003	14.580203	49.491131
73	3.34343505	0.0161754529	58.8604534	75	10.927446	40.750436	14.541671	49.432975
74	3.34311367	0.0121591033	59.6561484	76	10.885061	40.634090	14.537818	49.403896
75	3.34281752	0.0142299306	60.4476793	77	10.861943	40.663176	14.537818	49.403896
76	3.342415	0.0269200663	61.1901922	78	10.811852	40.692263	14.553231	49.607444
77	3.34206124	0.018357238	61.9526172	79	10.838824	40.692263	14.580203	49.607444
78	3.34184158	0.0107420065	62.7420461	80	10.854237	40.808610	14.568643	49.607444
79	3.34149324	0.0127528736	63.5227802	81	10.888915	40.692263	14.499287	49.520209
80	3.34121982	0.0161487499	64.316179	82	10.881208	40.634090	14.499287	49.462053
81	3.34097007	0.0140953565	65.0496349	83	10.854237	40.575916	14.480022	49.432975
82	3.34080813	0.00874954366	65.7888439	84	10.850383	40.634090	14.483875	49.520209
83	3.3406622	0.00844802748	66.5384898	85	10.827265	40.605003	14.480022	49.491131
84	3.34049096	0.0139415888	67.2776108	86	10.827265	40.605003	14.468462	49.462053
